Code,Title CN,Title EN,Issues
S1-01,巨人思維,Giant Mindset,Missing ISBN EN
S1-02,底層邏輯 I,,Missing Title EN | Missing ISBN EN
S1-03,華頓商學院最受歡迎的談判課,Getting More,Author Detailed Bio Missing
S1-04,我，刀槍不入,Can't Hurt Me,OK
S1-05,薩提爾的對話練習,Satir's Dialogue Exercise,Missing ISBN EN
S1-06,最高學習法,,Missing Title EN | Missing ISBN EN
S1-07,成長型領導,Growth Leadership,Missing ISBN ZH | Author Detailed Bio Missing
S1-08,目標,The Goal,OK
S1-09,為什麼事情做不完 你還在滑手機,,Missing Title EN | Missing ISBN EN
S1-10,刻意練習,Peak: Secrets from the New Science of Expertise,OK
S1-11,剛剛好的孤獨,Solitude just right,Missing ISBN EN
S1-12,定位,Positioning  The Battle for Your Mind,Missing ISBN ZH
S1-13,時勢,Megatrends,Missing ISBN EN
S1-14,留白時間,Time Off,Missing ISBN ZH
S1-15,情緒靈敏力,Emotional Agility,Missing ISBN ZH
S1-16,底層邏輯2 Underlaying Logic 2,,Missing Title EN | Missing ISBN EN
S1-17,精準選股 7Nothing,But Net,Missing ISBN EN | Author Detailed Bio Missing
S1-18,軟技能,Soft Skills,Missing ISBN EN | Author '劉潤、李笑來、萬維綱、吳軍、劉擎、薛兆豐 等' not in authors.json
S1-19,散漫者的學習法,,Missing Title EN | Missing ISBN EN
S1-20,你不欠任何人,You Don't Owe Anyone,Missing ISBN ZH | Author Detailed Bio Missing
S1-21,艱困時代的經濟學思考,Good Economics for Hard Times,Missing ISBN ZH | Author Detailed Bio Missing
S1-22,哈佛寫作課,Telling True Stories,Missing ISBN ZH
S1-23,高效寫作,,Missing Title EN | Missing ISBN EN
S1-24,寫作是最好得自我投資,,Missing Title EN | Missing ISBN EN
S1-25,可複製的溝通力,,Missing Title EN | Missing ISBN EN
S1-26,低風險創業,Low risk entrepreneurship,Missing ISBN EN
S1-27,聖經教你的18個接班秘訣,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S1-28,一如既往,Same as Ever,Missing ISBN ZH
S1-29,丹尼爾斯博士跑步方程式,Daniels Running Formula,Author Detailed Bio Missing
S1-30,跑步教科書,Illustrated Guide for Runners,Missing ISBN EN
S1-31,改善體質深呼吸,Deep Breathing for Health,Missing ISBN EN
